code,language,sub_language,total,total_male,total_female,rural,rural_male,rural_female,urban,urban_male,urban_female
69002,Koya,Koya,407423,197697,209726,402214,195055,207159,5209,2642,2567
70001,Kui,Kui,941377,451357,490020,920177,441591,478586,21200,9766,11434
70999,Kui,Others,111,55,56,106,52,54,5,3,2
71008,Kuki,Kuki,82049,42021,40028,66261,33785,32476,15788,8236,7552
71999,Kuki,Others,1919,1004,915,1856,972,884,63,32,31
72024,Kurukh,Kurukh,1976920,986869,990051,1800364,899679,900685,176556,87190,89366
72999,Kurukh,Others,11430,6477,4953,8552,4538,4014,2878,1939,939
73003,Ladakhi,Ladakhi,14952,8885,6067,9829,5723,4106,5123,3162,1961
74002,Lahauli,Lahauli,11162,5545,5617,7929,3957,3972,3233,1588,1645
74999,Lahauli,Others,412,220,192,352,193,159,60,27,33
75001,Lahnda,Bahawal Puri,29253,15063,14190,1735,912,823,27518,14151,13367
75006,Lahnda,Hindi Multani,61722,31672,30050,40851,21112,19739,20871,10560,10311
75999,Lahnda,Others,17816,9154,8662,11787,5992,5795,6029,3162,2867
76002,Lakher,Mara,38671,19402,19269,25931,12995,12936,12740,6407,6333
76999,Lakher,Others,3758,1839,1919,2136,1029,1107,1622,810,812
77001,Lalung,Lalung,33921,17033,16888,32617,16368,16249,1304,665,639
78001,Lepcha,Lepcha,47331,24162,23169,42597,21866,20731,4734,2296,2438
79002,Liangmei,Liangmei,48388,24837,23551,45735,23546,22189,2653,1291,1362
79999,Liangmei,Others,1423,727,696,1261,658,603,162,69,93
80002,Limbu,Limbu,38067,19842,18225,36663,19134,17529,1404,708,696
80999,Limbu,Others,2768,1465,1303,2457,1305,1152,311,160,151
81001,Lotha,Lotha,179467,90406,89061,128240,64781,63459,51227,25625,25602
82005,Lushai,Lushai,825900,409882,416018,313350,159154,154196,512550,250728,261822
82999,Lushai,Others,4946,2467,2479,4868,2421,2447,78,46,32
83002,Malto,Pahariya,152814,76168,76646,151760,75620,76140,1054,548,506
83004,Malto,Kulehiya,75776,39489,36287,75690,39443,36247,86,46,40
83999,Malto,Others,6401,3165,3236,5963,2972,2991,438,193,245
84001,Mao,Mao,97195,49480,47715,90485,46249,44236,6710,3231,3479
84003,Mao,Paola,143001,74908,68093,141825,74341,67484,1176,567,609
84999,Mao,Others,9,5,4,3,2,1,6,3,3
85001,Maram,Maram,32460,16596,15864,32181,16457,15724,279,139,140
86001,Maring,Maring,25814,13058,12756,25287,12781,12506,527,277,250
